ukpga	1900-
ukla	1900-
asp	1999-
asc	2020-
anaw	2012-2020
mwa	2008-
ukcm	1920-
nia	2000-
aosp	0
aep	0
aip	0
apgb	0
mnia	0
apni	1921-1972
gbla	0
gbppa	0
uksi	1948-
wsi	1999-
ssi	1999-
nisi	1972-
nisr	1991-
ukci	1991-
ukmo	0
uksro	1900-1947
nisro	1922-1973
eur	1958-2020
eudn	1953-2020
eudr	1959-2020
